시도별,주요 업종별,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
시도별,주요 업종별,사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원)
전국,자동차 전문 수리업,7038,26895,3168154,2837513,732335,103943,2001235,596179,7044,29349,3334833,3017493,1630213,778484,133224,475572,736872,5494,24758,2970136,2688754,1351733,710597,116975,509450,651612,5506,25110,3179132,2856915,1352699,811872,113518,578826,786835,5558,27072,3570850,3171072,1501383,904158,123834,641697,882710
전국,두발 미용업,3897,21176,980272,880825,249469,128533,502823,217521,3933,21339,1052276,915149,221953,318531,145498,229168,279658,4126,19790,1042899,921711,175472,293408,134711,318120,249494,4186,19448,1128923,1012193,176814,287959,142008,405412,257847,4596,21389,1320124,1156731,197712,340093,159476,459451,297215
전국,가정용 세탁업,4575,8490,442240,366253,59577,41332,265344,51098,4832,9113,517096,402211,154843,64773,57965,124630,57186,4720,7013,424164,365406,117011,50014,46436,151945,39099,4735,6558,369389,321945,74678,39803,37108,170356,30736,4757,6343,418186,350134,82941,31352,41589,194252,29061
전국,기타 프랜차이즈,21548,77696,7092997,6444169,896236,523846,5024087,825570,23671,85295,8109443,7393813,4726947,1016835,656258,993773,955699,25346,83596,8307183,7729903,4586080,1077177,635510,1431135,987895,28712,83318,9426337,8598074,5173498,1118379,644066,1662130,1088309,31335,93155,10362829,9586908,5825774,1267544,725304,1768287,1215486
서울특별시,합계,39658,177535,15099502,14044230,2083744,1343190,10617296,1903179,40615,180558,15500574,14227114,8401281,2362168,1526280,1937385,2252582,43207,169678,15543048,14584885,8231929,2181764,1426866,2744326,2063154,45664,166360,17221923,16269085,9078603,2356261,1420174,3414047,2281246,48628,180318,20112423,18853929,10378765,2729110,1565494,4180560,2629227
서울특별시,체인화 편의점,8102,39594,4655165,4519097,373310,196036,3949751,311093,7756,38372,4586809,4447588,3167903,393400,236924,649362,371494,8339,37870,4529143,4492911,3162613,392549,214376,723373,375779,8442,35733,4690674,4677964,3205427,404394,180139,888004,387644,8905,37093,5076281,4994870,3425364,455133,187432,926941,436862
서울특별시,문구용품 및 회화용품 소매업,359,1017,162145,144894,13808,14938,116148,11892,362,1000,132643,123303,85608,13828,12090,11777,13098,356,936,139197,131155,92955,12724,11629,13848,11621,359,881,147420,138686,94509,13618,13461,17098,13162,434,1006,176516,164632,112970,16225,14574,20864,15479
서울특별시,의약품 및 의료용품 소매업,1009,3093,946185,866123,63601,35897,766625,55044,1053,3095,902040,857364,695193,65018,44357,52796,57309,1112,3160,1038714,973961,797463,68656,39554,68290,57110,1114,3074,1181663,1096824,923078,63566,33063,77117,59012,1219,3321,1389873,1279393,1057943,86753,51119,83579,83088
서울특별시,안경 및 렌즈 소매업,612,1763,213345,188773,30757,32129,125887,28842,628,1773,194550,169844,89156,33056,32032,15600,32239,615,1605,189812,176027,94720,27786,30033,23489,25726,724,1668,241057,223014,122085,31337,33744,35848,29030,703,1688,269117,249058,136351,36901,36936,38870,35429
서울특별시,한식 음식점업,5658,26697,2067416,1903061,380436,245753,1276872,366920,5875,26194,2160016,1958290,992434,434938,268749,262170,421384,6476,23604,2028771,1911026,907094,379674,249448,374810,370200,7052,23420,2348375,2257301,1023687,442309,260793,530512,434153,7340,25848,2942767,2725289,1220061,501322,262007,741899,486796
